page_number,width,height,color_counts,size_counts
1,612.0,792.0,"{""#f3f8fc"": 1, ""#ffffff"": 2}","{""72.0"": 1, ""28.0"": 1, ""4.15307092666626"": 1}"
2,612.0,792.0,"{""#ffffff"": 1, ""#3e73b9"": 1, ""#4588c8"": 21, ""#434444"": 107}","{""10.0"": 1, ""24.0"": 1, ""8.0"": 105, ""7.0"": 23}"
3,612.0,792.0,"{""#ffffff"": 7, ""#444545"": 66, ""#4588c8"": 1, ""#3e73b9"": 1, ""#231f20"": 6, ""#2f79be"": 3}","{""16.0"": 6, ""8.0"": 23, ""14.0"": 1, ""7.959899425506592"": 52, ""10.0"": 1, ""24.0"": 1}"
4,612.0,792.0,"{""#ffffff"": 14, ""#434444"": 364, ""#4588c8"": 12, ""#444545"": 11, ""#3e73b9"": 1, ""#214289"": 1, ""#231f20"": 26}","{""10.0"": 1, ""9.0"": 10, ""7.0"": 58, ""6.0"": 9, ""8.0"": 4, ""6.634067535400391"": 4, ""6.800000190734863"": 7, ""6.5"": 8, ""5.878775596618652"": 2, ""5.247000217437744"": 1, ""6.123724460601807"": 1, ""5.848076343536377"": 7, ""24.0"": 1, ""7.14436149597168"": 5, ""5.6921000480651855"": 1, ""4.7759294509887695"": 257, ""6.415107250213623"": 1, ""6.6278204917907715"": 1, ""3.599931240081787"": 22, ""3.4341330528259277"": 1, ""3.4152228832244873"": 2, ""3.4999852180480957"": 5, ""3.5"": 21}"
5,612.0,792.0,"{""#ffffff"": 3, ""#434444"": 3, ""#464648"": 6, ""#231f20"": 21, ""#444545"": 34, ""#209754"": 2, ""#3e73b9"": 3, ""#666767"": 1, ""#2f79be"": 1, ""#464747"": 5}","{""10.0"": 3, ""8.132010459899902"": 2, ""8.0"": 12, ""9.0"": 17, ""40.0"": 1, ""25.086999893188477"": 1, ""16.0"": 2, ""9.199999809265137"": 10, ""6.0"": 1, ""6.893700122833252"": 1, ""4.109289646148682"": 2, ""4.109248161315918"": 4, ""4.109339237213135"": 4, ""4.109335899353027"": 2, ""4.109299659729004"": 2, ""4.109270095825195"": 4, ""6.498578071594238"": 5, ""7.0"": 2, ""7.115546226501465"": 2, ""11.0"": 1, ""24.0"": 1}"
6,612.0,792.0,"{""#ffffff"": 14, ""#444545"": 21, ""#434444"": 162, ""#4588c8"": 4, ""#2f79be"": 4, ""#3e73b9"": 1, ""#231f20"": 19}","{""10.0"": 1, ""9.0"": 10, ""7.0"": 51, ""6.0"": 7, ""6.800000190734863"": 8, ""8.0"": 4, ""6.5"": 88, ""5.878775596618652"": 1, ""5.247000217437744"": 1, ""5.6921000480651855"": 2, ""24.0"": 1, ""6.599999904632568"": 13, ""7.14436149597168"": 5, ""6.55620002746582"": 5, ""4.454771041870117"": 14, ""4.5"": 14}"
7,612.0,792.0,"{""#231f20"": 20, ""#ffffff"": 3, ""#3e73b9"": 3, ""#444545"": 29, ""#209754"": 2, ""#666767"": 1, ""#2f79be"": 1, ""#434444"": 3, ""#464648"": 6, ""#464747"": 5}","{""10.0"": 14, ""16.0"": 2, ""40.0"": 1, ""25.086999893188477"": 1, ""9.5"": 10, ""6.0"": 1, ""6.893700122833252"": 1, ""8.0"": 12, ""8.132010459899902"": 2, ""4.109289646148682"": 2, ""4.109248161315918"": 4, ""4.109339237213135"": 4, ""4.109335899353027"": 2, ""4.109299659729004"": 2, ""4.109270095825195"": 4, ""6.498578071594238"": 5, ""7.0"": 2, ""7.115546226501465"": 2, ""11.0"": 1, ""24.0"": 1}"
8,612.0,792.0,"{""#ffffff"": 17, ""#444444"": 390, ""#4588c8"": 12, ""#434444"": 33, ""#454545"": 21, ""#3f74ba"": 1, ""#21428a"": 1, ""#2f79be"": 1, ""#231f20"": 36}","{""10.0"": 1, ""9.0"": 9, ""7.0"": 85, ""6.0"": 8, ""8.0"": 8, ""6.634067535400391"": 4, ""6.5"": 13, ""5.878775596618652"": 4, ""5.247000217437744"": 1, ""24.0"": 1, ""6.123724460601807"": 1, ""4.924428939819336"": 289, ""6.800000190734863"": 2, ""5.848076343536377"": 1, ""5.9767045974731445"": 1, ""6.300000190734863"": 1, ""5.6921000480651855"": 1, ""7.14436149597168"": 5, ""5.0"": 7, ""6.335416316986084"": 1, ""6.55620002746582"": 7, ""3.700000047683716"": 26, ""3.5952820777893066"": 29, ""5.613430023193359"": 4, ""5.301400184631348"": 3}"
9,612.0,792.0,"{""#ffffff"": 3, ""#434444"": 3, ""#464648"": 1, ""#444545"": 25, ""#231f20"": 20, ""#209754"": 2, ""#3e73b9"": 3, ""#454545"": 17, ""#666767"": 1, ""#2f79be"": 1, ""#464747"": 5}","{""10.0"": 19, ""8.132010459899902"": 2, ""8.0"": 13, ""39.59798049926758"": 1, ""24.8348331451416"": 1, ""16.0"": 2, ""9.0"": 10, ""6.0"": 1, ""6.893700122833252"": 1, ""4.109289646148682"": 2, ""4.109248161315918"": 4, ""4.109339237213135"": 4, ""4.109335899353027"": 2, ""4.109299659729004"": 2, ""4.109270095825195"": 4, ""6.099081993103027"": 5, ""7.0"": 2, ""7.115546226501465"": 2, ""11.0"": 1, ""24.0"": 1, ""6.5"": 2}"
10,612.0,792.0,"{""#ffffff"": 13, ""#444545"": 20, ""#434444"": 331, ""#4588c8"": 4, ""#2f79be"": 4, ""#3e73b9"": 1}","{""10.0"": 1, ""9.0"": 9, ""7.0"": 46, ""6.0"": 7, ""6.800000190734863"": 8, ""8.0"": 4, ""6.5"": 9, ""6.786751747131348"": 1, ""4.7759294509887695"": 270, ""5.878775596618652"": 1, ""5.247000217437744"": 1, ""5.6921000480651855"": 2, ""6.634067535400391"": 1, ""24.0"": 1, ""6.599999904632568"": 7, ""5.864927291870117"": 5}"
11,612.0,792.0,"{""#231f20"": 59, ""#ffffff"": 4, ""#3e73b9"": 3, ""#444545"": 27, ""#209754"": 2, ""#666767"": 1, ""#2f79be"": 1, ""#434444"": 39, ""#464648"": 9, ""#464747"": 5}","{""10.0"": 2, ""16.0"": 2, ""8.674646377563477"": 12, ""40.0"": 1, ""25.086999893188477"": 1, ""8.582849502563477"": 8, ""6.0"": 1, ""6.893700122833252"": 1, ""8.0"": 12, ""8.132010459899902"": 2, ""4.109289646148682"": 2, ""4.109248161315918"": 4, ""4.109339237213135"": 4, ""4.109335899353027"": 2, ""4.109299659729004"": 2, ""4.109270095825195"": 4, ""6.498578071594238"": 5, ""7.0"": 2, ""7.115546226501465"": 2, ""11.0"": 1, ""24.0"": 1, ""7.399799823760986"": 1, ""4.599981784820557"": 34, ""4.3880839347839355"": 1, ""4.363945007324219"": 1, ""4.933199882507324"": 7, ""3.4000000953674316"": 32, ""6.894200325012207"": 3}"
12,612.0,792.0,"{""#ffffff"": 15, ""#444444"": 189, ""#434444"": 29, ""#454545"": 16, ""#4588c8"": 7, ""#3f74ba"": 1, ""#2f79be"": 1, ""#231f20"": 19}","{""9.0"": 8, ""7.0"": 59, ""6.0"": 8, ""5.878775596618652"": 4, ""8.0"": 7, ""5.247000217437744"": 1, ""6.634067535400391"": 4, ""6.5"": 12, ""24.0"": 1, ""6.123724460601807"": 1, ""6.822755813598633"": 126, ""5.0"": 2, ""6.800000190734863"": 2, ""5.6921000480651855"": 1, ""7.14436149597168"": 5, ""10.0"": 1, ""6.308800220489502"": 5, ""4.762884616851807"": 16, ""4.426400184631348"": 14}"
13,612.0,792.0,"{""#434444"": 3, ""#464648"": 5, ""#231f20"": 22, ""#444545"": 20, ""#209754"": 2, ""#3e73b9"": 2, ""#454545"": 18, ""#666767"": 1, ""#2f79be"": 1, ""#464747"": 5, ""#ffffff"": 3, ""#3f74ba"": 1}","{""8.132010459899902"": 2, ""8.0"": 13, ""10.0"": 3, ""9.5"": 17, ""39.191837310791016"": 1, ""24.580129623413086"": 1, ""16.0"": 2, ""9.0"": 10, ""6.0"": 1, ""6.893700122833252"": 1, ""4.109289646148682"": 2, ""4.109248161315918"": 4, ""4.109339237213135"": 4, ""4.109335899353027"": 2, ""4.109299659729004"": 2, ""4.109270095825195"": 4, ""6.498578071594238"": 5, ""7.0"": 2, ""7.115546226501465"": 2, ""11.0"": 1, ""6.5"": 3, ""24.0"": 1}"
14,612.0,792.0,"{""#ffffff"": 13, ""#434444"": 190, ""#4588c8"": 5, ""#2f79be"": 3, ""#444545"": 6, ""#ababab"": 1, ""#3e73b9"": 1, ""#231f20"": 25}","{""10.0"": 1, ""9.0"": 10, ""7.0"": 45, ""6.0"": 1, ""6.800000190734863"": 117, ""8.0"": 4, ""6.5"": 7, ""5.878775596618652"": 2, ""5.247000217437744"": 1, ""6.634067535400391"": 1, ""6.8585710525512695"": 1, ""6.6278204917907715"": 1, ""6.699999809265137"": 1, ""7.14436149597168"": 5, ""24.0"": 1, ""5.6921000480651855"": 1, ""6.55620002746582"": 5, ""3.5"": 20, ""4.000048637390137"": 19, ""3.79472017288208"": 1}"
15,612.0,792.0,"{""#ffffff"": 3, ""#444545"": 28, ""#209754"": 2, ""#3e73b9"": 3, ""#231f20"": 19, ""#666767"": 1, ""#2f79be"": 1, ""#434444"": 3, ""#464648"": 6, ""#464747"": 5}","{""10.0"": 22, ""39.59798049926758"": 1, ""24.8348331451416"": 1, ""16.0"": 2, ""6.0"": 1, ""6.893700122833252"": 1, ""8.0"": 12, ""8.132010459899902"": 2, ""4.109289646148682"": 2, ""4.109248161315918"": 4, ""4.109339237213135"": 4, ""4.109335899353027"": 2, ""4.109299659729004"": 2, ""4.109270095825195"": 4, ""6.498578071594238"": 5, ""7.0"": 2, ""7.115546226501465"": 2, ""11.0"": 1, ""24.0"": 1}"
16,612.0,792.0,"{""#ffffff"": 22, ""#434444"": 87, ""#4588c8"": 6, ""#464648"": 15, ""#231f20"": 18, ""#3e73b9"": 1, ""#444545"": 1}","{""10.0"": 1, ""7.0"": 66, ""9.0"": 11, ""6.0"": 16, ""6.800000190734863"": 13, ""5.878775596618652"": 2, ""5.247000217437744"": 1, ""8.0"": 3, ""6.5"": 6, ""5.300000190734863"": 6, ""5.5"": 2, ""2.6400556564331055"": 2, ""2.6400692462921143"": 4, ""2.6401867866516113"": 4, ""2.640155792236328"": 2, ""2.6401495933532715"": 2, ""2.6400904655456543"": 4, ""24.0"": 1, ""6.634067535400391"": 2, ""4.574286937713623"": 2}"
17,612.0,792.0,"{""#ffffff"": 39, ""#4588c8"": 2, ""#444545"": 44, ""#3e73b9"": 1, ""#454545"": 44}","{""10.0"": 28, ""14.0"": 2, ""8.0"": 99, ""24.0"": 1}"
18,612.0,792.0,"{""#ffffff"": 39, ""#4588c8"": 2, ""#444545"": 43, ""#454545"": 45}","{""10.0"": 29, ""14.0"": 2, ""8.0"": 98}"
19,612.0,792.0,"{""#4588c8"": 1, ""#454545"": 86, ""#ffffff"": 20}","{""14.0"": 1, ""8.0"": 91, ""10.0"": 15}"
20,612.0,792.0,"{""#ffffff"": 35, ""#3e73b9"": 1, ""#4588c8"": 2, ""#444545"": 82, ""#454545"": 14}","{""10.0"": 29, ""24.0"": 1, ""14.0"": 2, ""8.0"": 102}"
21,612.0,792.0,"{""#ffffff"": 18, ""#4588c8"": 1, ""#444545"": 47}","{""10.0"": 14, ""14.0"": 1, ""8.0"": 51}"
22,612.0,792.0,"{""#434444"": 2, ""#ffffff"": 23, ""#3e73b9"": 1, ""#444545"": 114, ""#231f20"": 110, ""#464747"": 27, ""#444646"": 4, ""#464648"": 7}","{""8.0"": 112, ""10.0"": 1, ""20.0"": 1, ""7.0"": 15, ""3.9744858741760254"": 12, ""3.9743785858154297"": 24, ""3.974497079849243"": 24, ""3.9744718074798584"": 12, ""3.974480390548706"": 12, ""3.9744699001312256"": 24, ""6.498578071594238"": 12, ""6.099081993103027"": 15, ""8.044775009155273"": 6, ""7.039190292358398"": 3, ""6.099032878875732"": 12, ""6.0"": 3}"
23,612.0,792.0,"{""#6d3817"": 8, ""#824e25"": 5, ""#64381b"": 16, ""#492c19"": 10, ""#ffffff"": 3, ""#7a4f2e"": 9, ""#5f391e"": 1, ""#522914"": 3}","{""17.0"": 6, ""9.0"": 4, ""32.0"": 1, ""13.0"": 1, ""10.0"": 2, ""12.0"": 2, ""6.349899768829346"": 3, ""7.256999969482422"": 4, ""7.440199851989746"": 1, ""6.144925594329834"": 2, ""3.329878330230713"": 1, ""3.3334829807281494"": 2, ""3.372448444366455"": 2, ""3.362121105194092"": 1, ""3.406083345413208"": 1, ""3.405728578567505"": 2, ""5.039400100708008"": 1, ""7.861700057983398"": 1, ""14.0"": 1, ""7.0"": 12, ""4.080999851226807"": 5}"
24,612.0,792.0,"{""#ffffff"": 4, ""#4588c8"": 1, ""#282828"": 10, ""#434444"": 2}","{""10.0"": 1, ""28.029014587402344"": 1, ""10.01613712310791"": 8, ""12.019384384155273"": 4, ""18.02902603149414"": 1, ""16.0"": 2}"
